Name,dD,err,dS {chli},err
Arginine (+),-0.023408599999999998,0.000561402003915198,-12.112369216009206,0.01586113530066204
Asparagine,-0.0165476,0.00039000020512815117,-9.775183381779467,0.00582026858624273
Glutamic Acid (-),-0.0012406,8.900561780022652e-06,-11.28252474935668,0.00875587008225157
Glycine,-0.0181551,0.00037220065824767153,-4.082308911040363,0.00048472694256392334
Isoleucine,-0.0132975,0.0002675031588598535,-6.805884502404245,0.006475217291978375
Phenylalanine,-0.0095796,0.00017790070264054608,-2.9173033207705723,0.020384251546506346
