#Table 5: Solvent accesible surface area (SASA)
SASA-Valley,err,SASA-Bulk,err,dSASA,err
2.274267591503227,3.0893085316907765e-05,2.4275292538207043,3.3655776814899953e-08,-0.1532616623174774,3.089310364966678e-05
2.274267591503227, 3.0893085316907765e-05, 2.4275292538207043, 3.3655776814899953e-08, -0.1532616623174774, 3.089310364966678e-05
3.346164609040263,6.276976253382963e-05,3.6608003995762184,2.3896059547056354e-06,-0.31463579053595536,6.28152314743178e-05
3.346164609040263, 6.276976253382963e-05, 3.6608003995762184, 2.3896059547056354e-06, -0.31463579053595536, 6.28152314743178e-05
3.398154971673443,2.2466634351735575e-06,3.6471417371361383,1.6283997672307553e-06,-0.24898676546269538,2.774740058611442e-06
3.398154971673443, 2.2466634351735575e-06, 3.6471417371361383, 1.6283997672307553e-06, -0.24898676546269538, 2.774740058611442e-06
2.767441348812942,1.0720421443241869e-06,2.8640620031086055,4.120040817439234e-07,-0.09662065429566358,1.1484867097972245e-06
2.767441348812942, 1.0720421443241869e-06, 2.8640620031086055, 4.120040817439234e-07, -0.09662065429566358, 1.1484867097972245e-06
2.839289243901175,1.9960620473304635e-06,2.8888974433290717,3.447406545030485e-07,-0.049608199427896515,2.0256134418146696e-06
2.839289243901175, 1.9960620473304635e-06, 2.8888974433290717, 3.447406545030485e-07, -0.049608199427896515, 2.0256134418146696e-06
2.7069499120118374,1.0565160157197893e-06,2.791611078073541,2.780781438135902e-07,-0.0846611660617036,1.092498762259816e-06
2.7069499120118374, 1.0565160157197893e-06, 2.791611078073541, 2.780781438135902e-07, -0.0846611660617036, 1.092498762259816e-06
2.5620066375468227,1.3610083825991044e-06,2.631972685857805,9.042489567791789e-08,-0.0699660483109823,1.3640089733075045e-06
2.5620066375468227, 1.3610083825991044e-06, 2.631972685857805, 9.042489567791789e-08, -0.0699660483109823, 1.3640089733075045e-06
3.0585634917831186,9.647640938012409e-06,3.150342180332365,1.2816417134919732e-06,-0.0917786885492462,9.732398530196736e-06
3.0585634917831186, 9.647640938012409e-06, 3.150342180332365, 1.2816417134919732e-06, -0.0917786885492462, 9.732398530196736e-06
2.9087322354429035,1.5248878806223169e-06,3.053236654954414,5.238523026635561e-07,-0.14450441951151038,1.6123598492503873e-06
2.9087322354429035, 1.5248878806223169e-06, 3.053236654954414, 5.238523026635561e-07, -0.14450441951151038, 1.6123598492503873e-06
2.9721565443285174,1.9553476351512405e-06,3.1372015062338168,4.702237581475667e-07,-0.16504496190529938,2.0110929260026674e-06
2.9721565443285174, 1.9553476351512405e-06, 3.1372015062338168, 4.702237581475667e-07, -0.16504496190529938, 2.0110929260026674e-06
2.1096767383169603,9.348370801342953e-06,2.1824498678563975,6.466622242509867e-08,-0.07277312953943715,9.348594459046998e-06
2.1096767383169603, 9.348370801342953e-06, 2.1824498678563975, 6.466622242509867e-08, -0.07277312953943715, 9.348594459046998e-06
2.962477855485008,2.190385323835438e-06,3.1269958100900084,5.055123969524912e-07,-0.1645179546050004,2.2479614432517144e-06
2.962477855485008, 2.190385323835438e-06, 3.1269958100900084, 5.055123969524912e-07, -0.1645179546050004, 2.2479614432517144e-06
2.9766260862272533,5.875312463052174e-07,3.1314513702076776,4.6107980031446136e-07,-0.15482528398042428,7.468517574746581e-07
2.9766260862272533, 5.875312463052174e-07, 3.1314513702076776, 4.6107980031446136e-07, -0.15482528398042428, 7.468517574746581e-07
2.9514125169108856,9.342261238596347e-07,3.027978859449988,1.0457701296398402e-07,-0.07656634253910255,9.40061062985946e-07
2.9514125169108856, 9.342261238596347e-07, 3.027978859449988, 1.0457701296398402e-07, -0.07656634253910255, 9.40061062985946e-07
2.958948422718539,2.934841463744172e-07,3.0717955816011377,5.266486766171796e-07,-0.11284715888259855,6.029027888107227e-07
2.958948422718539, 2.934841463744172e-07, 3.0717955816011377, 5.266486766171796e-07, -0.11284715888259855, 6.029027888107227e-07
3.19005609831689,1.3035098844828388e-06,3.366486288157546,1.8733160880449714e-06,-0.17643018984065595,2.2822031427269085e-06
3.19005609831689, 1.3035098844828388e-06, 3.366486288157546, 1.8733160880449714e-06, -0.17643018984065595, 2.2822031427269085e-06
3.181620117423609,2.2550121384454205e-06,3.3381956134242583,8.953111146657822e-07,-0.15657549600064913,2.426244368685948e-06
3.181620117423609, 2.2550121384454205e-06, 3.3381956134242583, 8.953111146657822e-07, -0.15657549600064913, 2.426244368685948e-06
2.997578377858152,1.3829310938013361e-06,3.1578651246121714,1.1138655559559592e-06,-0.16028674675401922,1.7757237642571656e-06
2.997578377858152, 1.3829310938013361e-06, 3.1578651246121714, 1.1138655559559592e-06, -0.16028674675401922, 1.7757237642571656e-06
3.1355153601187875,2.6631658446805263e-07,3.326550593655074,7.887355593938271e-07,-0.1910352335362866,8.324832165365394e-07
3.1355153601187875, 2.6631658446805263e-07, 3.326550593655074, 7.887355593938271e-07, -0.1910352335362866, 8.324832165365394e-07
2.6794151087822913,4.244139995448242e-07,2.7553162659486117,1.3465895979460645e-07,-0.0759011571663204,4.4526427934722037e-07
2.6794151087822913, 4.244139995448242e-07, 2.7553162659486117, 1.3465895979460645e-07, -0.0759011571663204, 4.4526427934722037e-07
2.470640064596378,8.029871600205668e-07,2.531623660339153,8.224307458861744e-08,-0.0609835957427749,8.071878978748903e-07
2.470640064596378, 8.029871600205668e-07, 2.531623660339153, 8.224307458861744e-08, -0.0609835957427749, 8.071878978748903e-07
2.683924004797081,1.0167154179557023e-06,2.743395651127717,8.337618099617776e-08,-0.05947164633063595,1.0201283393114544e-06
